Comparison	p53Target	Ensg	GeneID	p53	TargetRegion	InteractionBait	InteractionOtherEnd	InteractionDynamism	EnrichedInGeneSet	p53EnsgGenomicDistance	H3K27acLog2FCp53	H3K27acLog2FCensg	H3K27acLog2FCenhancer	ExprLog2FCensg
Nut1h.vs.Nut0h	enhancer	ENSG00000125868	DSTN	20:17565048-17565270	20:17564794-17565299	20:17542510-17551506	20:17560300-17566673	gained	AP1FJ_Q2	15051	0.215247133333333	0.3144451	0.57355908	0.565823119929378
Nut1h.vs.Nut0h	enhancer	ENSG00000169718	DUS1L	17:80091494-80091716	17:80090857-80091897	17:80017578-80030208	17:80090071-80092694	gained	chr17q25	67442	0.5247487	0.634312933333333	0.5247487	-1.15478993322188
Nut1h.vs.Nut0h	enhancer	ENSG00000120875	DUSP4	8:29594857-29595079	8:29593999-29596507	8:29201519-29223254	8:29587193-29598660	gained		386383	0.5145745	0.7399622	1.05043447272727	-0.54794442509242
Nut1h.vs.Nut0h	enhancer	ENSG00000146425	DYNLT1	6:159120412-159120634	6:159118676-159120602	6:159063732-159071602	6:159114133-159124537	maintained		54352	1.26568348811343	1.3379688116387	1.07975910861748	-0.121085898413097
Nut1h.vs.Nut0h	enhancer	ENSG00000146425	DYNLT1	6:159158865-159159087	6:159131755-159166574	6:159063732-159071602	6:159158166-159159998	gained		92805	0.442158576654544	1.3379688116387	0.693530218208519	-0.121085898413097
Nut1h.vs.Nut0h	enhancer	ENSG00000007968	E2F2	1:23703916-23704138	1:23702259-23705211	1:23695196-23708149	1:23851717-23859128	gained		154085	0.438545903822824	1.28527812159694	0.507479295044476	-0.18322649482606
Nut1h.vs.Nut0h	enhancer	ENSG00000156508	EEF1A1	6:74413976-74414198	6:74411945-74415277	6:74228212-74234059	6:74413506-74415042	maintained	PSMB5_TARGET_GENES,AP1FJ_Q2	180167	1.18843912119918	0.801965494766794	0.972189415612941	0.218705061620761
Nut1h.vs.Nut0h	enhancer	ENSG00000106263	EIF3B	7:2276937-2277159	7:2276577-2277843	7:2271653-2281302	7:2390145-2400062	gained		116273	0.50459897983263	1.06004943873661	0.508994517929463	-0.409933085218769
Nut1h.vs.Nut0h	enhancer	ENSG00000134531	EMP1	12:13252791-13253013	12:13249706-13256020	12:13342838-13353401	12:13246040-13255658	maintained	PSMB5_TARGET_GENES	96348	1.349111	2.12213	1.53229289230769	-0.164621432585595
Nut1h.vs.Nut0h	enhancer	ENSG00000182580	EPHB3	3:184459033-184459255	3:184458255-184459480	3:184275459-184280993	3:184449572-184460828	maintained		179972	1.66609427638141	0.281350840199258	1.32738185753902	-1.81473278904479
Nut1h.vs.Nut0h	enhancer	ENSG00000171311	EXOSC1	10:99309818-99310040	10:99309178-99310451	10:99205020-99206842	10:99307835-99311304	gained		103755	1.585794	1.66287226666667	1.27881601111111	-0.219892775805703
Nut1h.vs.Nut0h	enhancer	ENSG00000185519	FAM131C	1:16511194-16511416	1:16504884-16511847	1:16395667-16408325	1:16503481-16516865	gained		110778	0.321876502406389	0.953403856974527	0.845496830470806	-2.10292512526322
Nut1h.vs.Nut0h	enhancer	ENSG00000151327	FAM177A1	14:35312432-35312654	14:35311959-35313179	14:35311776-35316622	14:35512217-35515002	maintained		201170	0.2562333	0.982145666666667	0.269440077777778	0.339267979955957
Nut1h.vs.Nut0h	enhancer	ENSG00000185958	FAM186A	12:50640666-50640888	12:50639883-50642207	12:50637053-50655179	12:50785608-50790613	gained		150028	1.322562	1.7587968	1.68363946153846	4.79327575507112
Nut1h.vs.Nut0h	enhancer	ENSG00000188343	FAM92A1	8:95003146-95003368	8:95002715-95004676	8:94709945-94715402	8:94999994-95006709	maintained	chr8q22	292868	0.6355246	1.6168918	1.02194871818182	0.298821884217499
Nut1h.vs.Nut0h	enhancer	ENSG00000083857	FAT1	4:187852924-187853146	4:187847630-187860821	4:187645379-187648463	4:187850357-187864894	maintained		204759	0.899714870757874	0.504564865379512	1.06026162177643	0.882035656108601
Nut1h.vs.Nut0h	enhancer	ENSG00000133393	FOPNL	16:16061356-16061578	16:16055739-16064046	16:15980084-15987977	16:16053015-16071403	gained		78585	0.3315355	0.22482515	0.361436137058824	0.786067751368285
Nut1h.vs.Nut0h	enhancer	ENSG00000133393	FOPNL	16:16162763-16162985	16:16161834-16163536	16:15980084-15987977	16:16153738-16187905	gained		179992	0.860646266666667	0.22482515	0.95012363	0.786067751368285
Nut1h.vs.Nut0h	enhancer	ENSG00000136877	FPGS	9:130328648-130328870	9:130315017-130332353	9:130554858-130558773	9:130324497-130332895	gained		227717	0.8820887	0.284523668888889	0.776849113666667	-1.29880333677605
Nut1h.vs.Nut0h	enhancer	ENSG00000068438	FTSJ1	X:47905813-47906035	X:47904579-47906577	X:48331695-48348542	X:47904272-47909083	gained		428217	0.7761048	0.5430557	1.32262250909091	-0.567113428623895
Nut1h.vs.Nut0h	enhancer	ENSG00000162613	FUBP1	1:78414685-78414907	1:78414134-78416142	1:78439265-78448564	1:78413998-78417095	gained	NPM1_TARGET_GENES	30398	0.485585914419238	0.0770699676311652	0.0144283802160027	0.485302737152685
Nut1h.vs.Nut0h	enhancer	ENSG00000108479	GALK1	17:73681144-73681366	17:73668923-73706225	17:73746011-73769009	17:73678106-73688829	gained	chr17q25	80937	0.6977603	0.226126833333333	0.236027220927711	-1.59231914003411
Nut1h.vs.Nut0h	enhancer	ENSG00000136895	GARNL3	9:130186686-130186908	9:130184262-130188078	9:129982140-129991033	9:130182158-130193852	gained		200653	0.4006623	1.055773	0.800327053333333	0.384867942623445
Nut1h.vs.Nut0h	enhancer	ENSG00000115486	GGCX	2:85638090-85638312	2:85636729-85641876	2:85787962-85789968	2:85616162-85640232	gained		150869	0.498403266557213	1.06533104927344	0.56509180757034	-0.197486157211737
Nut1h.vs.Nut0h	enhancer	ENSG00000137960	GIPC2	1:78414685-78414907	1:78414134-78416142	1:78439265-78448564	1:78413998-78417095	gained	NPM1_TARGET_GENES	30030	0.485585914419238	0.0770699676311652	0.0144283802160027	0.194432189626694
Nut1h.vs.Nut0h	enhancer	ENSG00000010310	GIPR	19:45903572-45903794	19:45902741-45904010	19:45903271-45910798	19:46148198-46174178	gained		267419	0.6079153	1.43974374	0.629062843333333	-0.702802028297974
Nut1h.vs.Nut0h	enhancer	ENSG00000104687	GSR	8:30561978-30562200	8:30559322-30564058	8:30577291-30588908	8:30550829-30568763	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	23754	0.587405038	1.35230468333333	0.7041326622	0.0880677352484893
Nut1h.vs.Nut0h	enhancer	ENSG00000197265	GTF2E2	8:30546044-30546266	8:30545605-30547160	8:30514629-30526394	8:30543633-30550828	gained		29987	1.096159	1.12451484	0.713136422222222	-0.0151884272573276
Nut1h.vs.Nut0h	enhancer	ENSG00000188342	GTF2F2	13:45710959-45711181	13:45710393-45711842	13:45692578-45696074	13:45708757-45713142	maintained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	16820		0.6529414	0.7079059	0.424187032558355
Nut1h.vs.Nut0h	enhancer	ENSG00000213780	GTF2H4	6:30857970-30858192	6:30849557-30859052	6:30864617-30884904	6:30854701-30863498	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	17480	0.72957584518668	1.46190344282619	0.749631038727095	-1.422527617028
Nut1h.vs.Nut0h	enhancer	ENSG00000172432	GTPBP2	6:44030199-44030421	6:44030011-44031074	6:43590241-43611931	6:44027857-44031356	gained		433011	0.862625459543523	-0.0167543360307792	0.717563054332996	-0.364683637966191
Nut1h.vs.Nut0h	enhancer	ENSG00000120068	HOXB8	17:46204840-46205062	17:46203415-46205710	17:46692325-46693111	17:46201386-46210909	gained		487927	1.552265	0.8120737	1.40438521875	-1.10517140017282
Nut1h.vs.Nut0h	enhancer	ENSG00000100360	IFT27	22:36966123-36966345	22:36965827-36966772	22:37171394-37172435	22:36961095-36970402	maintained		206466	1.36445951666667	0.83565275	1.08200509090909	-1.09854820210235
Nut1h.vs.Nut0h	enhancer	ENSG00000119669	IRF2BPL	14:77385085-77385307	14:77383004-77387345	14:77491237-77502860	14:77368345-77389624	gained		110238	1.319339	0.5080291	1.22243756363636	-1.6024706916623
Nut1h.vs.Nut0h	enhancer	ENSG00000119669	IRF2BPL	14:77404547-77404769	14:77403966-77405145	14:77491237-77502860	14:77403900-77409092	maintained		90776	0.8004784	0.5080291	0.71463455825	-1.6024706916623
Nut1h.vs.Nut0h	enhancer	ENSG00000119669	IRF2BPL	14:77425681-77425903	14:77418513-77432194	14:77491237-77502860	14:77422078-77448185	maintained		69642	0.5991967	0.5080291	0.484756097391304	-1.6024706916623
Nut1h.vs.Nut0h	enhancer	ENSG00000078747	ITCH	20:32890720-32890942	20:32884746-32891911	20:32874333-32906363	20:32937950-32953759	gained		59810	0.7438249	0.847670383333333	0.143793355862069	0.603447134129455
Nut1h.vs.Nut0h	enhancer	ENSG00000184916	JAG2	14:105449146-105449368	14:105449195-105449726	14:105426300-105449462	14:105630619-105648563	gained		186304	1.150368	1.82587677777778	1.150368	-1.31681760262455
Nut1h.vs.Nut0h	enhancer	ENSG00000100647	KIAA0247	14:70179916-70180138	14:70178618-70180543	14:70071162-70081898	14:70171005-70183194	maintained	MIR338_3P	102114	1.10271625	0.4721227	0.502446310909091	-0.0910903493354107
Nut1h.vs.Nut0h	enhancer	ENSG00000164944	KIAA1429	8:95669731-95669953	8:95668885-95670333	8:95539158-95560467	8:95666615-95670853	gained	chr8q22	103685	0.5280471	0.21921971	0.807137922222222	0.708258659082732
Nut1h.vs.Nut0h	enhancer	ENSG00000104731	KLHDC4	16:87812795-87813017	16:87810557-87814898	16:87797333-87802747	16:87803555-87815308	gained		12908	-0.0413932	0.16820224	0.686748543090909	-0.0195535697442727
Nut1h.vs.Nut0h	enhancer	ENSG00000162755	KLHDC9	1:161074412-161074634	1:161071507-161077583	1:161037045-161052923	1:161067306-161076002	maintained		6772	0.478124153797161	1.07686810881951	0.185642494627553	-2.58228128881052
Nut1h.vs.Nut0h	enhancer	ENSG00000005483	KMT2E	7:105157657-105157879	7:105156390-105159479	7:104651065-104655679	7:105153637-105158052	gained		503542	0.087834258676014	-0.213729424833785	-0.0325968516998435	0.341806021047827
Nut1h.vs.Nut0h	enhancer	ENSG00000239569	KMT2E-AS1	7:105157657-105157879	7:105156390-105159479	7:104651065-104655679	7:105153637-105158052	gained		502600	0.087834258676014	-0.213729424833785	-0.0325968516998435	-0.198729831772779
Nut1h.vs.Nut0h	enhancer	ENSG00000213417	KRTAP2-4	17:39113110-39113332	17:39104539-39117311	17:39221136-39227998	17:39110923-39115655	gained		109310	1.616948	1.13323102857143	1.28871352083333	-0.894814750424091
Nut1h.vs.Nut0h	enhancer	ENSG00000130702	LAMA5	20:60953197-60953419	20:60952553-60954057	20:60871672-60890793	20:60939241-60958236	maintained		10540	1.5004735	1.24595553333333	1.66663522222222	-1.27291317166023
Nut1h.vs.Nut0h	enhancer	ENSG00000135862	LAMC1	1:182931843-182932065	1:182931754-182932521	1:182989144-182996819	1:182929932-182935609	maintained	AP1FJ_Q2	60241	1.1619766171847	1.10262592263358	1.42730907809191	0.0124175285979617
Nut1h.vs.Nut0h	enhancer	ENSG00000104341	LAPTM4B	8:98808769-98808991	8:98807323-98811430	8:98783889-98790404	8:98802428-98813297	gained	chr8q22	21995	0.5354498	1.29945608333333	0.857230604761905	-0.0504602918358038
Nut1h.vs.Nut0h	enhancer	ENSG00000166477	LEO1	15:52369280-52369502	15:52368629-52369804	15:52258490-52264716	15:52369421-52371123	gained		104988	1.5816961	0.726108833333333	1.71028486	0.630281902890933
Nut1h.vs.Nut0h	enhancer	ENSG00000106683	LIMK1	7:73590956-73591178	7:73589569-73598804	7:73490086-73499864	7:73589845-73591981	maintained		94204	0.142860126640641	0.746685110858954	0.211068225818939	-0.981396850348986
Nut1h.vs.Nut0h	enhancer	ENSG00000225077	LINC00337	1:6474605-6474827	1:6474155-6475358	1:6297167-6308873	1:6473250-6478146	maintained		178816	1.15036770812574	0.754240096021593	1.34950004989013	-0.727911087780987
Nut1h.vs.Nut0h	enhancer	ENSG00000228393	LINC01004	7:105157657-105157879	7:105156390-105159479	7:104651065-104655679	7:105153637-105158052	gained		503877	0.087834258676014	-0.213729424833785	-0.0325968516998435	2.3630115081124
Nut1h.vs.Nut0h	enhancer	ENSG00000114988	LMAN2L	2:97304009-97304231	2:97302625-97304639	2:97296519-97317826	2:97400983-97410766	gained		102081	-0.33300524017977	0.53337363055287	0.707873726641597	-0.125252680423985
Nut1h.vs.Nut0h	enhancer	ENSG00000196365	LONP1	19:5696847-5697069	19:5695986-5697915	19:5672132-5706867	19:5717274-5748652	gained		24025	0.518730066666667	1.02629452	0.314717530833333	-0.664193348061746
Nut1h.vs.Nut0h	enhancer	ENSG00000124688	MAD2L1BP	6:44030199-44030421	6:44030011-44031074	6:43590241-43611931	6:44027857-44031356	gained		433433	0.862625459543523	-0.0167543360307792	0.717563054332996	-0.138645055368091
Nut1h.vs.Nut0h	enhancer	ENSG00000145495	MARCH6	5:10552607-10552829	5:10549672-10553891	5:10350337-10355214	5:10552388-10552972	gained	AP1FJ_Q2	199303	1.43586916425549	0.82440098855823	1.70344892465749	0.662989645160616
Nut1h.vs.Nut0h	enhancer	ENSG00000100294	MCAT	22:43522045-43522267	22:43521424-43526439	22:43506547-43527745	22:43533261-43544278	gained		17644	0.427578	1.28775952	0.637971243846154	-1.18259320320375
Nut1h.vs.Nut0h	enhancer	ENSG00000133030	MPRIP	17:17092968-17093190	17:17092649-17094160	17:17070346-17075692	17:17092963-17095140	gained	AP1FJ_Q2	147620	-0.04362977	1.83213038571429	0.28407606	-0.445520629583446
